representation,anchor_a,anchor_b,parallel_branch_index,dense_length_mm,length_mm,absolute_length_error_mm,absolute_arc_chord_tortuosity_error,reference_samples,representation_samples,subject,stratum
junction_only,37,40,0,3.8238254032829735,2.996060646003557,0.8277647572794167,0.2762843797516487,17,13,topcow_ct_005,TopBrain-CT
junction_only,38,42,0,9.65741298677371,7.171913296466379,2.485499690307331,0.3465601977553108,40,30,topcow_ct_005,TopBrain-CT
junction_only,38,100,0,17.314729765206867,13.065034611302462,4.249695153904405,0.3252723992195188,71,54,topcow_ct_005,TopBrain-CT
junction_only,38,107,0,27.85880487556625,15.460295985301348,12.398508890264901,0.8019580544934329,113,63,topcow_ct_005,TopBrain-CT
junction_only,39,43,0,1.336523254508883,1.1645867108254542,0.1719365436834288,0.1476373910892053,7,6,topcow_ct_005,TopBrain-CT
junction_only,39,45,0,2.838084725275796,2.224587940250115,0.613496785025681,0.27577996532549043,13,10,topcow_ct_005,TopBrain-CT
junction_only,41,55,0,20.447784529477293,16.98392579327767,3.4638587361996223,0.2039492387308143,83,69,topcow_ct_005,TopBrain-CT
junction_only,42,103,0,2.15722571625803,2.031640587447125,0.1255851288109051,0.06181463866535082,10,10,topcow_ct_005,TopBrain-CT
junction_only,42,106,0,55.6477504718045,45.89601722342208,9.751733248382422,0.21247449862394222,224,185,topcow_ct_005,TopBrain-CT
junction_only,43,45,0,2.8142572635266485,2.8142572635266485,0.0,0.0,13,13,topcow_ct_005,TopBrain-CT
junction_only,44,47,0,2.673046509017766,2.3291734216509083,0.3438730873668576,0.1476373910892053,12,11,topcow_ct_005,TopBrain-CT
junction_only,44,99,0,5.469966228220166,3.779910015670016,1.6900562125501497,0.4471154618876754,23,17,topcow_ct_005,TopBrain-CT
junction_only,45,51,0,7.561225384167947,6.59073168476953,0.9704936993984168,0.14725128344112734,32,28,topcow_ct_005,TopBrain-CT
junction_only,45,55,0,34.09136422442771,17.492918489080804,16.598445735346903,0.9488665796795294,138,71,topcow_ct_005,TopBrain-CT
junction_only,46,50,0,11.09793796765869,10.070382200107899,1.0275557675507905,0.1020374149791237,46,42,topcow_ct_005,TopBrain-CT
junction_only,46,53,0,18.59417088400409,9.004454464059025,9.589716419945065,1.0649969365964471,76,38,topcow_ct_005,TopBrain-CT
